ID,Label
abbott1985,a85
baird-2008,b2008
blust1993,b93
bromley-1967,b67
brown-1973,b73
clouse-1993,c93
clouse-1997,c97
conrad-and-dye-1975,cd75
daniels2010,d2010
daniels2016,d2016
davies_and_comrie1985,dc85
dol-2007,d2007
dutton1970,d70
dutton2010,d2010
dye-et-al-1968,d68
fataluku-language-project,flp
fleischmann-and-turpeinen-1976,ft76
foley1986,f86
foley2005,f2005
franklin-1973-b,f73
franklin-and-voorhoeve-1973,franklin-and-v73
franklin1975,f75
healey-1970,h70
heeschen-1978,h78
hughes-2009,h2009
kamholz2012,k2012
kriens-and-lebold-2010,kl2010
lambrecht-et-al-2008,l2008
lang-1973,la73
larson-larson-1972,ll72
laycock1968,l68
lindstrom2008,l2008
lloyd-1973,ll73
loughnane-and-fedden-2011,lf2011
macdonald-1973,m73
mcelhanon-1967,m67
mcelhanon_and_voorhoeve1970,mv70
miedema-welling-1985,mw85
mikloucho-maclay-1871-1883,mm1871
murray-and-ray-1918,mr18
pawley-2005,p2005
pawley-2013,p2013
pikkert-et-al1994,p94
potter-et-al-2008,p2008
reesink-1976,r76
retsema-et-al-2009,r2009
ross2014,r2014
rueck-jore-2003,rj2003
salisbury-1956,s56
saville1912,s12
scott1978,s78
shaw-1973,s73
shaw-1986,s86
sil-1962,sil-1962
sil-1962b,sil-1962b
sil-1962c,sil-1962c
sil-1963,sil-1963
sil-1963b,sil-1963b
sil-1963c,sil-1963c
sil-1965,sil-1965
sil-1965b,sil-1965b
sil-1965c,sil-1965c
sil-1965d,sil-1965d
sil-1966,sil-1966
sil-1967,sil-1967
sil-1967b,sil-1967b
sil-1967c,sil-1967c
sil-1968,sil-1968
sil-1970,sil-1970
sil-1971,sil-1971
sil-1971b,sil-1971b
sil-1972,sil-1972
sil-1973,sil-1973
sil-1973b,sil-1973b
sil-1973c,sil-1973c
sil-1974b,sil-1974b
sil-1975,sil-1975
sil-1975b,sil-1975b
sil-1975c,sil-1975c
sil-1975d,sil-1975d
sil-1975e,sil-1975e
sil-1975f,sil-1975f
sil-1975g,sil-1975g
sil-1975h,sil-1975h
sil-1975i,sil-1975i
sil-1975j,sil-1975j
sil-1975k,sil-1975k
sil-1975l,sil-1975l
sil-1975m,sil-1975m
sil-1976,sil-1976
sil-1976b,sil-1976b
sil-1976c,sil-1976c
sil-1977b,sil-1977b
sil-1977c,sil-1977c
sil-1977d,sil-1977d
sil-1980,sil-1980
sil-1981,sil-1981
sil-1983,sil-1983
sil-1983a,sil-1983a
sil-1983b,sil-1983b
sil-1985,sil-1985
sil-1985b,sil-1985b
sil-1985c,sil-1985c
sil-1985d,sil-1985d
sil-1988,sil-1988
sil-1990,sil-1990
sil-1991,sil-1991
sil-2000,sil-2000
sil-2000b,sil-2000b
sil-2000c,sil-2000c
sil-nd,sil-nd
sil-ndb,sil-ndb
sil-survey-1973,sil-1973
sil-survey-1974,sil-1974
sil-survey-1975,sil-1975
sil-survey-1976,sil-1976
sil-survey-1987,sil-1987
sil-survey-1992,sil-1992
sil-survey-nd,sil-ndc
smallhorn-2011,sm2011
southwell1976,s76
spencer-et-al-2011,sp2011
staalsen-1969,s69
stokhof-1975,s75
taber1993,t93
thomson1975,t75
tonson-1976,t76
trefry-1969,t69
tryon-hackman-1983,th83
van-cott-and-spencer-2010,vcs2010
van-der-wouw-1974,vdw74
visser-and-voorhoeve1987,vv87
voorhoeve-1970,v70
voorhoeve-1970-b,v70-b
voorhoeve-1971,v71
voorhoeve-1975,v75
voorhoeve-1985,v85
voorhoeve-2000,v00
voorhoeve1980,v80
voorhoeve1982,v82
wegener2011,w2011
wilson-1969,w69
wurm-1973,w73
xiao-1990,x90
zgraggen-1980-mabuso,z80m
zgraggen-1980-nadelbert,z80n
zgraggen-1980-raicoast,z80r
zgraggen-1980-sadelbert,z80s
